key,trades,profit_mean,profit_mean_pct,profit_total_abs,profit_total,profit_total_pct,duration_avg,wins,draws,losses,winrate,cagr,expectancy,expectancy_ratio,sortino,sharpe,calmar,sqn,profit_factor,max_drawdown_account,max_drawdown_abs,period
LINK/USDT:USDT,307,0.01833333664059069,1.83,112.47113493,1.1247113493,112.47,0:56:00,241,0,66,0.7850162866449512,1.1470678563770713,0.36635548837133547,0.29043935446170366,4.954831057433287,5.278493127789414,83.5510480288777,5.6675,2.3509830578748936,0.07143862832102091,11.385738770000003,2025-01-01 00:00:00 to 2025-12-27 10:00:00
DOGE/USDT:USDT,310,0.016373213587724672,1.64,101.37531386000002,1.0137531386000003,101.38,1:09:00,230,0,80,0.7419354838709677,1.033426780927437,0.32701714148387095,0.2512131178600907,4.845040697435615,4.343007109284169,75.76969019274394,4.6405,1.9734508317078525,0.07100364300353147,12.747099959999971,2025-01-01 00:00:00 to 2025-12-27 10:00:00
ETC/USDT:USDT,267,0.01741066222979057,1.74,92.87016320000001,0.9287016320000001,92.87,1:00:00,213,0,54,0.797752808988764,0.94637744167521,0.3478283265917601,0.2953497637605971,5.682757951662052,5.011632567264767,97.52735373778853,5.7685,2.4603404985940642,0.050535166364759805,8.206197500000002,2025-01-01 00:00:00 to 2025-12-27 10:00:00
DOT/USDT:USDT,322,0.014379235185403025,1.44,92.36942431,0.9236942431,92.37,1:06:00,240,0,82,0.7453416149068323,0.9412540699914242,0.2868615661801242,0.2260071739750955,4.295569098744902,4.107088235259328,143.19085891705944,4.3061,1.8874915856095213,0.03423393913505271,6.8190045500000025,2025-01-01 00:00:00 to 2025-12-27 10:00:00
FIL/USDT:USDT,291,0.015256066049378063,1.53,88.64240070999999,0.8864240070999999,88.64,1:12:00,214,0,77,0.7353951890034365,0.9031264208032146,0.30461306085910655,0.20016115039120064,3.6492393747380714,3.373278497848026,40.508066288443885,3.7198,1.7564531787511608,0.11612986710355422,16.818698979999994,2025-01-01 00:00:00 to 2025-12-27 10:00:00
ATOM/USDT:USDT,240,0.01829781888832275,1.83,87.78375024,0.8778375024,87.78,1:06:00,187,0,53,0.7791666666666667,0.8943438562432178,0.36576562599999995,0.29776870138805944,4.488701533711241,4.2374569518129785,117.14864142569793,5.1434,2.348386572323289,0.03976681469431574,7.262060079999998,2025-01-01 00:00:00 to 2025-12-27 10:00:00
NEAR/USDT:USDT,252,0.016178456799843515,1.62,80.56950408,0.8056950408,80.57,0:42:00,208,0,44,0.8253968253968254,0.8205764092878376,0.31972025428571427,0.15478563809048262,2.525930164389146,3.0645708538864826,65.31589852283355,3.6305,1.8864995636091286,0.06546297170735314,12.53390782999999,2025-01-01 00:00:00 to 2025-12-27 10:00:00
LTC/USDT:USDT,305,0.012143155073265383,1.21,74.02945155,0.7402945155,74.03,1:07:00,222,0,83,0.7278688524590164,0.75373808805189,0.24271951327868851,0.2050190377081822,3.4043178344083636,3.3942615489912416,55.9032677050058,3.6563,1.7533832108553677,0.07027668526820806,10.82258281,2025-01-01 00:00:00 to 2025-12-27 10:00:00
SOL/USDT:USDT,414,0.007253806745569886,0.73,59.64780641,0.5964780641,59.65,1:23:00,302,0,112,0.7294685990338164,0.606884506578171,0.14407682707729474,0.10926124554230743,2.37885976162138,2.621165819965975,31.83660065907369,2.4245,1.4038763897724573,0.09942869019656202,15.675093729999986,2025-01-01 00:00:00 to 2025-12-27 10:00:00
ETH/USDT:USDT,386,0.006556678617444991,0.66,49.912074340000004,0.4991207434,49.91,1:42:00,279,0,107,0.7227979274611399,0.5075745201896711,0.12930589207253895,0.1083977025863494,2.0251809351582084,2.296533164742238,33.46778713466164,2.1997,1.391042179423653,0.07914483041348651,11.272226390000007,2025-01-01 00:00:00 to 2025-12-27 10:00:00
