key,trades,profit_mean,profit_mean_pct,profit_total_abs,profit_total,profit_total_pct,duration_avg,wins,draws,losses,winrate,cagr,expectancy,expectancy_ratio,sortino,sharpe,calmar,sqn,profit_factor,max_drawdown_account,max_drawdown_abs,period
roi,1808,0.04006298949748253,4.01,1428.49551472,14.284955147200002,1428.5,1:16:00,1808,0,0,1.0,14.874946929538323,0.7900970767256638,100.0,-100.0,104.27311741274345,-100.0,46.1965,0.0,0.0,0.0,2025-01-01 00:00:00 to 2025-12-27 10:00:00
trailing_stop_loss,2439,0.012545532597222934,1.25,607.7209162,6.077209162,607.72,0:25:00,1737,0,702,0.7121771217712177,6.272197589488285,0.24916806732267316,0.30872573341495424,46.31198677460058,40.54121047620599,325.35914626274763,15.4653,2.0726240225058024,0.09912543257516777,24.999765560000057,2025-01-01 00:00:00 to 2025-12-27 10:00:00
exit_signal,7,0.00774889732739599,0.77,1.05617318,0.0105617318,1.06,1:00:00,5,0,2,0.7142857142857143,0.010709205220052809,0.15088188285714285,5.297972390602707,2.5260515963374526,0.3907728262263235,99.50140826941279,2.5767,19.542903367109474,0.0005633130844444548,0.056958349999999935,2025-01-01 00:00:00 to 2025-12-27 10:00:00
stop_loss,66,-0.25477441612108237,-25.48,-330.46209515,-3.3046209515,-330.46,3:48:00,0,0,66,0.0,0.0,-5.007001441666667,-1.0,-76.48967110456613,-76.48967110456613,-5.306936992928555,-176.0644,0.0,3.304620951500001,330.4620951500001,2025-01-01 00:00:00 to 2025-12-27 10:00:00
timeout_exit,551,-0.06909469331178093,-6.91,-752.05637348,-7.5205637348000005,-752.06,5:39:00,9,0,542,0.016333938294010888,0.0,-1.3648935997822143,-0.9830213720168086,-40.11822404134306,-39.77191255516126,-5.306936992928555,-31.8979,0.0006553948685210965,7.5205637348000005,752.05637348,2025-01-01 00:00:00 to 2025-12-27 10:00:00
TOTAL,4871,0.00989537955626857,0.99,954.75413547,9.5475413547,954.75,1:22:00,3559,0,1312,0.7306507903921166,9.8983730753306,0.19600782908437692,0.15588968182874985,41.42362034737651,42.78339665420481,707.9905803830824,11.5499,1.5787642074602448,0.07156620696755159,58.884838859999945,2025-01-01 00:00:00 to 2025-12-27 10:00:00
roi,1807,0.04007409795455258,4.01,1277307.9969604698,12773.079969604698,1277308.0,1:16:00,1807,0,0,1.0,14565.727187339846,706.8666280910181,100.0,-100.0,31.86553495194471,-100.0,14.1214,0.0,0.0,0.0,2025-01-01 00:00:00 to 2025-12-27 10:00:00
trailing_stop_loss,2436,0.012581593980570075,1.26,857540.1294407101,8575.4012944071,857540.13,0:25:00,1737,0,699,0.7130541871921182,9725.001475281832,352.0279677507019,0.5199033067605949,23.56024936508535,25.301629026021107,674935.5229358214,9.6578,2.811851867337353,0.06742735092759942,55230.60206267994,2025-01-01 00:00:00 to 2025-12-27 10:00:00
exit_signal,7,0.007748897348703051,0.77,-151.29646257,-1.5129646256999998,-151.3,1:00:00,5,0,2,0.7142857142857143,0.0,-21.61378036714285,-0.10621970668910452,-0.04959802017836574,-0.05392584583397311,-7.017152065361688,-0.3556,0.6282310265881339,1.1442260145328318,406.96366128,2025-01-01 00:00:00 to 2025-12-27 10:00:00
stop_loss,66,-0.2547744161273204,-25.48,-490861.57272233,-4908.6157272232995,-490861.57,3:48:00,0,0,66,0.0,0.0,-7437.296556398939,-1.0,-1.9762177274369568,-1.9762177274369568,-5.306936992928555,-4.5489,0.0,4908.6157272233,490861.57272233005,2025-01-01 00:00:00 to 2025-12-27 10:00:00
