key,trades,profit_mean,profit_mean_pct,profit_total_abs,profit_total,profit_total_pct,duration_avg,wins,draws,losses,winrate,cagr,expectancy,expectancy_ratio,sortino,sharpe,calmar,sqn,profit_factor,max_drawdown_account,max_drawdown_abs,period
agg_short_v10,1904,0.01726487755888406,1.73,652.77563065,6.527756306500001,652.78,1:37:00,1538,0,366,0.8077731092436975,6.741791339298763,0.3428443438287816,0.22022672476368466,23.051739740401796,27.582538572107655,203.3240166643117,11.9081,2.1456603386613535,0.1703802236062559,69.73220965000019,2025-01-01 00:00:00 to 2025-12-27 10:00:00
agg_long_v11,2967,0.00516618366918401,0.52,301.97850482,3.0197850482,301.98,1:13:00,2021,0,946,0.6811594202898551,3.098213092849634,0.1017790713919785,0.08916235702521424,14.923934866871106,14.233907955030748,124.38631016643927,4.9232,1.279645574306354,0.12883900938568923,58.996298550000176,2025-01-01 00:00:00 to 2025-12-27 10:00:00
TOTAL,4871,0.00989537955626857,0.99,954.75413547,9.5475413547,954.75,1:22:00,3559,0,1312,0.7306507903921166,9.8983730753306,0.19600782908437692,0.15588968182874985,41.42362034737651,42.78339665420481,707.9905803830824,11.5499,1.5787642074602448,0.07156620696755159,58.884838859999945,2025-01-01 00:00:00 to 2025-12-27 10:00:00
agg_short_v10,1904,0.01726487755913775,1.73,787623.3877369999,7876.233877369999,787623.39,1:37:00,1538,0,366,0.8077731092436975,8921.571605278943,413.66774566018904,0.17748947460207498,5.959361078713572,10.724895544308984,169460.58409777674,4.6302,1.923333223066533,0.24665722209864815,257914.0177630901,2025-01-01 00:00:00 to 2025-12-27 10:00:00
agg_long_v11,2965,0.005234707373681442,0.52,-42458.58382281002,-424.58583822810016,-42458.58,1:13:00,2020,0,945,0.6812816188870152,0.0,-14.319927090323802,-0.01339279340916244,-0.672548872173988,-0.9474875988643964,-1664.6892096133356,-0.3278,0.9579792249119925,1.353556134414817,162378.31394755997,2025-01-01 00:00:00 to 2025-12-27 10:00:00
TOTAL,4869,0.009939049955958873,0.99,745164.80391419,7451.6480391419,745164.8,1:22:00,3558,0,1311,0.7307455329636475,8434.147931353295,153.04267897190198,0.10767123081254071,8.40339003889173,12.879613731083584,129378.36101077222,3.4777,1.3998865162671708,0.30565719281227466,328073.60500908026,2025-01-01 00:00:00 to 2025-12-27 10:00:00
agg_short_v10,1133,0.020787635562545783,2.08,44013.1601367,440.131601367,44013.16,1:00:00,915,0,218,0.8075904677846425,441405.2645844373,38.84656675789939,0.1201638218348442,8.420894595080908,13.241040327725377,6106.543323082088,3.5194,1.6245211474260484,0.8052624187299051,23136.868567190006,2022-01-09 08:00:00 to 2022-06-30 00:00:00
agg_long_v11,1327,0.008367387601238481,0.84,23560.127956520002,235.60127956520003,23560.13,0:59:00,910,0,417,0.6857573474001507,116773.07022885048,17.754429507550853,0.10630958560035886,6.210153723328788,8.174231020806333,5185.876332487433,2.0077,1.3383041249200869,0.5075815302311345,11302.897109109997,2022-01-09 08:00:00 to 2022-06-30 00:00:00
TOTAL,2460,0.014087770097238963,1.41,67573.28809322,675.7328809322,67573.29,0:59:00,1825,0,635,0.741869918699187,1100356.8771738966,27.468816298056907,0.12448674712190044,15.392868634418669,21.833204660917332,10334.045385965404,3.9392,1.4822636187714566,0.730558518845923,23566.82137137,2022-01-09 08:00:00 to 2022-06-30 00:00:00
agg_short_v10,969,0.012874966593196577,1.29,3422.31526766,34.223152676599994,3422.32,1:54:00,722,0,247,0.7450980392156863,1215.756954682756,3.5318011018163062,0.16879709197253479,10.522494595944519,14.001325524544775,1810.4211078270757,4.3061,1.6622039761999439,0.1973493738535002,725.3075345000007,2022-07-01 00:00:00 to 2022-12-31 00:00:00
agg_long_v11,1515,0.004997106879590873,0.5,116.6613926899999,1.166613926899999,116.66,1:07:00,1010,0,505,0.6666666666666666,3.674424925898969,0.07700421959735948,0.005660110798044293,0.7680484847607071,0.7945942597539857,14.798930350424678,0.1955,1.0169803323941333,0.822985479935718,911.1496858799997,2022-07-01 00:00:00 to 2022-12-31 00:00:00
TOTAL,2484,0.008070233313763145,0.81,3538.9766603499993,35.38976660349999,3538.98,1:25:00,1732,0,752,0.6972624798711755,1297.4600701306208,1.4247088004629633,0.0889965807288613,15.621664416002785,18.469832163026062,1258.074115908471,3.549,1.293972748045866,0.2936748893931563,1011.4503846700009,2022-07-01 00:00:00 to 2022-12-31 00:00:00
agg_long_v11,1705,0.011136375880195198,1.11,8144.7550687600005,81.4475506876,8144.76,1:09:00,1187,0,518,0.6961876832844575,7682.917205464338,4.776982445020527,0.15484653432533513,19.48868542361639,20.60664719096655,3097.8079290979986,4.7005,1.509678264526441,0.27905992212583963,1248.22342483,2023-01-01 00:00:00 to 2023-06-30 00:00:00
agg_short_v10,805,0.007197512118432561,0.72,1918.9461791400004,19.189461791400003,1918.95,2:28:00,548,0,257,0.6807453416149069,442.10122275757726,2.3837840734658418,0.049977769586595944,3.0163674919986962,3.431119634632024,311.5466426297411,1.1387,1.156545153763462,0.6537529263391785,3811.9945932800038,2023-01-01 00:00:00 to 2023-06-30 00:00:00
TOTAL,2510,0.009873114793255389,0.99,10063.7012479,100.637012479,10063.7,1:34:00,1735,0,775,0.6912350597609562,11744.059553588953,4.009442728247013,0.1100391768712019,19.869378843772473,22.143612028660556,3777.622321071949,4.1634,1.356384947028021,0.282756844909296,2918.0606769700016,2023-01-01 00:00:00 to 2023-06-30 00:00:00
agg_long_v11,1785,0.004846749550463857,0.48,672.31697032,6.7231697032,672.32,1:16:00,1186,0,599,0.6644257703081232,57.984759590135845,0.37664816264425816,0.09207814519869872,11.042147547345625,12.866044867003508,263.9295106808684,2.9161,1.2743897982966235,0.2659386523114936,155.94903639,2023-07-01 00:00:00 to 2023-12-31 00:00:00
agg_short_v10,749,0.004946990694709917,0.49,107.85238862999998,1.0785238862999997,107.85,3:14:00,532,0,217,0.7102803738317757,3.3030230581640376,0.14399517841121479,0.04944525356413809,2.355706887552888,3.0311623806259287,24.696316123776736,1.0602,1.170665875205251,0.4559245045008631,138.85404266000006,2023-07-01 00:00:00 to 2023-12-31 00:00:00
TOTAL,2534,0.004876378838956478,0.49,780.1693589500001,7.801693589500001,780.17,1:51:00,1718,0,816,0.6779794790844514,75.55453570584783,0.3078805678571428,0.08151076223534792,13.57360128205667,16.272136344094783,304.5649242843177,3.0957,1.253122881745554,0.26742644202652055,203.26463584999948,2023-07-01 00:00:00 to 2023-12-31 00:00:00
agg_short_v10,1028,0.018075974410810196,1.81,8019.02499885,80.1902499885,8019.02,1:29:00,824,0,204,0.8015564202334631,7089.175623761056,7.800607975535021,0.24415561928459373,18.21499196274245,22.934234351827907,7752.295592867062,6.7734,2.2303528265909915,0.10918402514665462,832.0784124000002,2024-01-01 00:00:00 to 2024-06-30 00:00:00
agg_long_v11,1702,0.003984993239167789,0.4,2083.6370346699996,20.836370346699997,2083.64,1:10:00,1130,0,572,0.663924794359577,500.83074346211856,1.224228575011752,0.07075870119795291,7.143005120250433,8.087440530594085,418.0492884400994,1.8567,1.2105442472708323,0.5260928952508436,1711.4696191400008,2024-01-01 00:00:00 to 2024-06-30 00:00:00
